Player,Rating,Chase W/L,Evade W/L,Chase Wins,Evade Wins,Chase Loss,Evade Loss,Chases
Etienne Paff,961.1930,0.20,0.50,1,1,4,1,7
Lucas Begin,960.6540,0.50,0.33,2,1,2,2,7
Michaela Hoelldobler,960.2784,0.50,0.00,2,0,2,1,5
Alberto Gomez Tribello,960.1326,0.00,0.00,0,0,1,1,2
Adam Cole,959.9788,0.62,0.00,8,0,5,8,21
Yuta Hosokawa,959.9726,0.50,0.00,1,0,1,2,4
Jason Osborne,959.5584,0.00,0.00,0,0,1,1,2
Jimmy Davidson,959.1148,0.00,0.00,0,0,1,1,2
Giagomo Regazzi,959.0878,0.60,0.00,3,0,2,5,10
Luke Ashley,957.8518,0.00,0.00,0,0,2,0,2
Jesse Harrison,957.6276,0.71,0.14,5,1,2,6,14
Danee Marmolejo,957.5474,0.78,0.00,7,0,2,7,16
Caleb Bergstrom,957.2667,0.50,0.00,2,0,2,2,6
Jake Hurley,956.4343,0.00,0.00,0,0,2,0,2
Harrison Fernandez,956.1262,0.67,0.00,4,0,2,4,10
Jun Sato,955.2043,0.67,0.00,4,0,2,4,10
Michael Dario,954.4844,0.63,0.00,5,0,3,6,14
Tegan Kelleher,954.0172,0.50,0.00,2,0,2,2,6
Marquis Bennett,953.8870,0.50,0.17,4,1,4,5,14
Vincent Vinciguerra,953.5325,0.50,0.00,3,0,3,3,9
Vance Poubel,953.5017,0.33,0.00,1,0,2,1,4
Jonas Rullier,953.4574,0.50,0.00,2,0,2,2,6
Kazuki Motoori,953.2889,0.33,0.00,1,0,2,2,5
Maxime Miotia,952.3453,0.00,0.00,0,0,2,0,2
Alex Williams,952.0624,0.00,0.00,0,0,2,1,3
Leandro Alves,951.4833,0.00,0.00,0,0,2,0,2
Max Weinreich,951.4100,0.40,0.00,2,0,3,3,8
Mattias Hedvik ,951.2371,0.40,0.00,2,0,3,2,7
Emeric Cottin,950.8164,0.00,0.00,0,0,2,0,2
Brian Prince,950.3993,0.62,0.22,8,2,5,7,22
Guillaume Larrazabal,950.0921,0.00,0.00,0,0,2,0,2
Krishan,950.0777,0.33,0.00,1,0,2,1,4
Max Webb,948.7663,0.00,0.00,0,0,2,0,2
Arthur Franks,948.7087,0.50,0.00,2,0,2,2,6
Marcus Mattioli,948.3700,0.00,0.00,0,0,2,0,2
Christopher Glover,947.7589,0.79,0.10,11,1,3,9,24
Joey Vasquez,947.4832,0.40,0.33,2,1,3,2,8
Kan Miyasho,947.0785,0.00,0.00,0,0,2,0,2
Tyler Puterbaugh,946.5517,0.50,0.00,2,0,2,2,6
Roger-Maurice Galathee,946.3804,0.33,0.00,1,0,2,1,4
Bryce Adams,945.5826,0.67,0.00,6,0,3,6,15
D'Ondrai Jones,945.0982,0.47,0.25,7,2,8,6,23
Monkey D Brizeer,944.7367,0.00,0.00,0,0,2,0,2
Luke Anderson,944.6921,0.25,0.50,1,1,3,1,6
Shane Griffin,944.5909,0.33,0.00,1,0,2,1,4
Liziano Ostiana,944.1694,0.63,0.00,5,0,3,6,14
Luke Mizel,944.0590,0.58,0.10,7,1,5,9,22
James Harrison,943.8838,0.00,0.00,0,0,2,0,2
Erlin Mairena,943.8815,0.67,0.00,4,0,2,4,10
Marc Busch,943.7532,0.50,0.00,2,0,2,2,6
Seth Rubin,943.2429,0.00,0.00,0,0,2,1,3
Michael Gonzalez,942.6315,0.00,0.00,0,0,2,0,2
Liam McKay,942.5761,0.00,0.00,0,0,2,0,2
Geordonn Robinson,942.2880,0.50,0.22,8,2,8,7,25
Ashlee Johnson,940.3149,0.50,0.00,3,0,3,2,8
Maximus Ward,939.7254,0.00,0.00,0,0,2,0,2
Reishi Chihara,939.4531,0.00,0.00,0,0,2,0,2
Jeff Garrido,939.4185,0.56,0.17,5,1,4,5,15
Bastien Ducamp,938.6609,0.50,0.29,9,4,9,10,32
Isaac Hernandez,938.0820,0.43,0.14,6,1,8,6,21
Alexandre Gellert,937.7207,0.25,0.00,1,0,3,1,5
David Ehrlich,937.4852,0.33,0.00,1,0,2,1,4
Roman El Mahfoudi,937.2263,0.00,0.00,0,0,2,0,2
Seb Koci,936.5712,0.00,0.00,0,0,2,0,2
Eric Rubin,936.4046,0.50,0.00,3,0,3,4,10
Eric Wolff,936.1609,0.50,0.00,3,0,3,3,9
Gaetan Hamard,935.7548,0.25,0.00,1,0,3,1,5
Paco Huerta,934.6849,0.00,0.00,0,0,2,0,2
Dale Smith,934.3024,0.57,0.07,13,1,10,13,37
Mehdi Mouskit,934.2753,0.40,0.00,2,0,3,2,7
Joe Savastano,932.6710,0.67,0.00,4,0,2,6,12
Evan James,931.6118,0.50,0.00,3,0,3,5,11
Daniel Kipp,931.1654,0.00,0.00,0,0,3,0,3
Dante Grazioli,931.1507,0.40,0.00,2,0,3,2,7
Maayan Olshan,930.7632,0.57,0.00,4,0,3,4,11
Josua Ernst,930.2104,0.00,0.00,0,0,3,0,3
Seth Jung,928.8856,0.40,0.00,2,0,3,2,7
Tim Stridh ,927.5920,0.25,0.00,1,0,3,1,5
Bryce Clarke,927.5834,0.40,0.00,2,0,3,2,7
Ryan Mallon,927.0910,0.25,0.00,1,0,3,1,5
Jonathan Gordon,925.4701,0.33,0.25,2,1,4,3,10
Tyler Gatewood,924.6557,0.00,0.00,0,0,3,0,3
Jan Pospíšil,924.4495,0.00,0.00,0,0,3,0,3
Dominic Chavez,924.0110,0.38,0.25,3,1,5,3,12
George Munro,920.7448,0.25,0.00,1,0,3,1,5
Jay James,920.2858,0.50,0.00,4,0,4,4,12
Aidan Service,919.3106,0.50,0.00,3,0,3,3,9
Mitch Bynitski,918.5993,0.00,0.00,0,0,3,0,3
Raphael Dewilde,917.3834,0.20,0.00,1,0,4,1,6
Christian Fairfax,917.1054,0.33,0.00,2,0,4,2,8
Casey Wilson,916.7749,0.40,0.00,2,0,3,4,9
Elijah Muller,912.2572,0.20,0.00,1,0,4,1,6
Viktor Andersson ,910.8657,0.20,0.00,1,0,4,1,6
Kaden Harbaugh,908.4877,0.53,0.13,8,1,7,7,23
Oliver Rae-Scott,903.6329,0.17,0.00,1,0,5,1,7
Hugo Laloni,903.3385,0.38,0.17,5,1,8,5,19
Kazuya Ishizawa,902.7141,0.33,0.00,2,0,4,2,8
Takafumi Kimoto,899.5972,0.44,0.00,4,0,5,4,13
Giorgio Bartolucci,892.4222,0.17,0.00,1,0,5,1,7
Ian Fortuna,887.8521,0.44,0.00,4,0,5,5,14
James Cooper,872.9482,0.4545454545,0,5,0,6,6,17
Brett Vance,851.6760,0.23,0.00,3,0,10,2,15
Fabian Castany,849.1252,0.00,0.00,0,0,6,0,6
